,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target,Touches (Att 3rd),Touches (Att Pen)
340,Marcus Tavernier,epl,0.16,0.27,0.16,0.29,0.29,0.17,2.19,5.53,5.81,2.74,0.88,0.06,0.11,0.15,2.19,0.16,0.49,4.93,0.55,0.88,29.47,2.96
341,Yankuba Minteh,epl,0.31,0.24,0.31,0.23,0.23,0.29,3.86,2.14,9.43,1.71,0.80,0.18,0.13,0.28,1.53,0.12,0.37,3.18,0.61,0.80,22.96,6.86
342,Son Heung min,epl,0.34,0.31,0.25,0.35,0.26,0.36,4.49,4.66,11.84,2.46,1.07,0.10,0.11,0.22,2.18,0.23,0.23,5.00,0.57,1.07,29.83,5.68
343,Carlos Soler,epl,0.12,0.06,0.12,0.13,0.13,0.09,1.15,4.55,2.47,1.61,0.52,0.07,0.08,0.09,1.15,0.23,0.00,3.28,0.12,0.52,14.04,1.38
344,Keane Lewis Potter,epl,0.03,0.09,0.03,0.10,0.10,0.10,3.17,2.80,5.06,1.01,0.53,0.03,0.10,0.15,0.72,0.13,0.44,2.17,0.25,0.53,15.78,2.70
345,Mathys Tel,epl,0.22,0.15,0.15,0.31,0.25,0.16,2.33,2.33,8.88,3.13,1.09,0.05,0.08,0.14,0.95,0.00,0.44,1.89,0.22,1.09,24.66,4.37
346,Jack Grealish,epl,0.15,0.08,0.15,0.15,0.15,0.19,7.49,5.87,12.67,1.70,0.46,0.09,0.09,0.21,2.47,0.15,0.00,5.25,0.23,0.46,36.08,7.26
347,Diogo Jota,epl,0.41,0.21,0.41,0.56,0.56,0.14,2.61,3.03,6.60,3.44,0.96,0.12,0.16,0.08,0.89,0.07,0.07,2.75,0.69,0.96,18.63,7.01
348,Alex Iwobi,epl,0.27,0.15,0.27,0.14,0.14,0.20,4.33,6.01,7.00,1.92,0.87,0.14,0.07,0.20,1.80,0.39,0.51,3.88,0.48,0.87,25.18,3.34
349,Joe Willock,epl,0.00,0.20,0.00,0.12,0.12,0.16,3.15,3.45,6.90,1.42,0.30,0.00,0.09,0.08,1.83,0.00,0.00,3.86,0.41,0.30,19.38,3.75
350,Rasmus Hojlund,epl,0.36,0.07,0.36,0.28,0.28,0.14,1.37,1.04,4.34,1.66,0.78,0.22,0.17,0.06,1.04,0.07,0.03,2.12,0.13,0.78,10.84,3.72
351,Ismaila Sarr,epl,0.24,0.14,0.24,0.31,0.31,0.24,2.35,2.87,6.28,1.71,0.92,0.14,0.19,0.19,1.26,0.34,0.31,3.45,0.34,0.92,16.58,4.30
352,Kevin Schade,epl,0.32,0.09,0.32,0.29,0.29,0.15,2.54,1.45,6.53,2.13,0.91,0.15,0.13,0.07,0.86,0.05,0.14,2.22,0.36,0.91,20.57,5.62
353,Kasey McAteer,epl,0.00,0.19,0.00,0.11,0.11,0.09,2.42,1.67,7.81,1.49,0.56,0.00,0.08,0.06,1.12,0.00,0.37,2.79,0.37,0.56,18.97,3.53
354,Liam Delap,epl,0.46,0.08,0.38,0.34,0.28,0.07,2.22,1.15,3.86,2.26,1.03,0.17,0.13,0.05,0.77,0.27,0.00,2.29,0.27,1.03,11.82,3.25
355,Luis Diaz,epl,0.40,0.17,0.40,0.37,0.37,0.21,4.43,4.09,11.28,2.56,1.08,0.16,0.14,0.18,2.19,0.09,0.23,4.89,0.54,1.08,27.67,6.79
356,Kaoru Mitoma,epl,0.29,0.11,0.29,0.30,0.30,0.16,4.91,2.92,9.89,1.91,0.87,0.15,0.16,0.13,1.26,0.25,0.29,3.00,0.29,0.87,26.07,5.52
357,Enes Unal,epl,0.52,0.35,0.52,0.71,0.71,0.21,1.04,2.43,6.08,5.04,1.74,0.10,0.14,0.05,1.22,0.17,0.00,2.08,0.70,1.74,21.54,6.43
358,Timo Werner,epl,0.00,0.37,0.00,0.18,0.18,0.39,7.12,4.91,13.87,1.72,0.61,0.00,0.10,0.28,1.60,0.25,0.61,3.44,0.37,0.61,34.50,5.53
359,Jaden Philogene Bidace,epl,0.19,0.00,0.19,0.24,0.24,0.06,2.14,1.36,5.63,1.94,0.49,0.10,0.13,0.04,0.68,0.10,0.29,1.55,0.00,0.49,17.38,3.30
360,Wilson Odobert,epl,0.18,0.00,0.18,0.24,0.24,0.14,6.03,3.15,8.01,2.25,0.63,0.08,0.11,0.10,0.90,0.00,0.27,2.52,0.09,0.63,26.46,5.22
361,Christopher Nkunku,epl,0.34,0.17,0.34,0.47,0.46,0.19,1.72,3.01,6.46,2.58,1.12,0.13,0.18,0.10,1.29,0.26,0.00,3.27,0.34,1.12,23.00,4.91
362,Jadon Sancho,epl,0.17,0.21,0.17,0.09,0.09,0.20,5.35,5.00,11.08,1.11,0.34,0.15,0.08,0.18,1.97,0.39,0.00,3.85,0.51,0.34,30.76,5.99
363,Georginio Rutter,epl,0.27,0.16,0.27,0.25,0.25,0.14,2.28,3.64,4.29,2.72,0.65,0.10,0.09,0.09,1.03,0.65,0.05,3.48,0.43,0.65,17.72,4.29
364,Pedro Neto,epl,0.20,0.20,0.20,0.14,0.14,0.26,5.22,2.54,10.58,2.54,0.83,0.08,0.05,0.20,2.00,0.00,1.02,4.05,0.34,0.83,30.37,4.92
365,Marcus Rashford,epl,0.27,0.27,0.27,0.22,0.22,0.27,3.13,2.31,8.44,2.09,0.82,0.13,0.11,0.23,1.68,0.54,0.50,3.77,0.59,0.82,25.04,4.85
366,Raul Jimenez,epl,0.50,0.13,0.38,0.46,0.36,0.13,1.33,2.33,5.13,3.33,1.17,0.11,0.11,0.08,0.75,0.13,0.17,2.25,0.25,1.17,16.96,6.17
367,Danilo,epl,0.00,0.15,0.00,0.05,0.05,0.08,0.90,3.91,0.75,0.60,0.00,0.00,0.06,0.03,1.35,0.15,0.00,3.61,0.45,0.00,7.06,0.30
368,Joelinton,epl,0.14,0.11,0.14,0.17,0.17,0.12,1.70,4.43,3.97,1.74,0.53,0.08,0.10,0.10,0.99,0.32,0.07,2.45,0.32,0.53,17.19,3.08
369,Conor Chaplin,epl,0.14,0.14,0.14,0.17,0.17,0.09,1.44,3.60,2.88,1.73,0.43,0.08,0.10,0.09,0.86,1.30,0.29,2.74,0.14,0.43,14.40,1.73
370,Iliman Ndiaye,epl,0.27,0.04,0.19,0.23,0.17,0.07,3.32,2.05,4.68,1.47,0.54,0.13,0.11,0.06,0.70,0.12,0.23,2.47,0.27,0.54,17.63,3.25
371,Mohamed Salah,epl,0.68,0.51,0.46,0.69,0.51,0.37,4.13,4.06,12.65,3.43,1.41,0.13,0.15,0.23,2.11,0.46,0.37,4.30,0.70,1.41,29.51,9.16
372,Dominic Solanke,epl,0.33,0.21,0.30,0.46,0.43,0.15,1.50,1.99,4.06,2.47,0.96,0.12,0.18,0.06,0.78,0.15,0.00,1.81,0.39,0.96,12.76,5.06
373,Mikel Merino,epl,0.33,0.18,0.33,0.20,0.20,0.11,0.62,4.38,4.52,1.63,0.69,0.20,0.12,0.09,0.87,0.40,0.14,2.24,0.40,0.69,17.29,3.65
374,Jacob Murphy,epl,0.34,0.56,0.34,0.24,0.24,0.38,2.84,2.88,8.74,1.79,0.71,0.19,0.13,0.25,1.87,0.19,0.63,3.47,0.67,0.71,23.83,3.51
375,Jorgen Strand Larsen,epl,0.47,0.10,0.47,0.41,0.41,0.09,0.53,0.86,4.06,1.99,1.20,0.23,0.21,0.05,0.73,0.03,0.07,1.46,0.17,1.20,11.34,4.09
376,Ollie Watkins,epl,0.44,0.33,0.38,0.52,0.46,0.16,1.87,1.01,5.71,2.74,1.12,0.14,0.17,0.06,1.04,0.00,0.00,2.25,0.47,1.12,13.91,5.71
377,Amad Diallo,epl,0.34,0.27,0.34,0.22,0.22,0.24,5.11,2.86,8.99,2.40,0.84,0.14,0.09,0.19,2.17,0.15,0.23,4.57,0.69,0.84,28.31,5.83
378,Kamaldeen Sulemana,epl,0.09,0.09,0.09,0.10,0.10,0.06,4.56,2.07,5.94,1.89,0.60,0.05,0.06,0.06,0.78,0.00,0.52,2.24,0.26,0.60,21.36,3.88
379,Bukayo Saka,epl,0.50,0.50,0.38,0.42,0.29,0.40,4.73,3.62,12.85,3.19,1.27,0.12,0.09,0.36,2.65,0.23,0.42,5.46,1.19,1.27,36.27,8.08
380,Rodrigo Muniz,epl,0.69,0.08,0.69,0.52,0.52,0.05,0.46,2.29,3.13,3.36,1.76,0.20,0.15,0.02,0.53,0.23,0.00,1.68,0.15,1.76,11.31,5.04
381,Joao Felix,epl,0.08,0.08,0.08,0.43,0.43,0.15,3.33,5.34,7.04,4.26,1.32,0.02,0.10,0.13,1.24,0.54,0.00,4.02,0.46,1.32,26.31,6.04
382,Paul Onuachu,epl,0.37,0.09,0.37,0.30,0.30,0.05,0.64,1.10,3.57,2.93,1.28,0.13,0.10,0.03,0.73,0.00,0.00,0.82,0.09,1.28,13.90,5.49
383,John McGinn,epl,0.12,0.15,0.12,0.15,0.14,0.12,1.33,4.07,2.80,1.21,0.29,0.10,0.12,0.11,1.06,0.27,0.29,2.83,0.32,0.29,13.21,2.15
384,Facundo Buonanotte,epl,0.21,0.11,0.21,0.22,0.22,0.16,2.31,3.15,4.20,1.89,0.58,0.11,0.11,0.12,1.31,0.37,0.11,2.73,0.21,0.58,17.28,1.94
385,Eddie Nketiah,epl,0.11,0.11,0.11,0.42,0.42,0.17,3.93,1.69,7.30,3.71,1.35,0.03,0.11,0.09,1.24,0.22,0.00,2.70,0.22,1.35,19.10,6.18
386,Jack Clarke,epl,0.00,0.36,0.00,0.09,0.09,0.18,2.63,2.90,4.26,1.27,0.18,0.00,0.07,0.09,1.99,0.09,0.00,3.44,0.45,0.18,15.85,2.63
