,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target,Touches (Att 3rd),Touches (Att Pen)
555,Borja Iglesias,laliga,0.43,0.11,0.43,0.38,0.38,0.10,0.80,1.39,5.08,2.03,1.23,0.21,0.19,0.07,0.80,0.43,0.00,1.71,0.32,1.23,13.59,3.69
556,Jesus Rodriguez,laliga,0.11,0.00,0.11,0.20,0.20,0.01,4.52,2.63,8.62,2.21,0.74,0.05,0.09,0.04,0.63,0.00,0.21,3.15,0.53,0.74,24.08,5.36
557,Gerard Moreno,laliga,0.38,0.38,0.00,0.53,0.23,0.43,2.13,7.50,8.25,2.88,1.13,0.00,0.08,0.25,2.50,0.13,0.38,5.38,0.75,1.13,25.38,5.63
558,Ayoze Perez,laliga,0.73,0.09,0.73,0.50,0.50,0.14,3.45,3.67,6.21,3.45,1.38,0.21,0.14,0.10,1.42,0.30,0.22,3.45,0.22,1.38,18.55,6.90
559,Jon Guridi,laliga,0.25,0.04,0.21,0.20,0.17,0.06,1.22,3.75,3.67,1.14,0.59,0.19,0.15,0.05,0.89,0.04,0.13,2.02,0.34,0.59,14.25,2.66
560,Pablo Fornals,laliga,0.15,0.00,0.15,0.12,0.12,0.16,1.57,6.95,4.26,1.27,0.29,0.12,0.10,0.14,1.86,0.34,0.39,4.16,0.49,0.29,20.31,2.15
561,Sheraldo Becker,laliga,0.19,0.15,0.19,0.17,0.17,0.19,4.18,1.80,9.43,2.24,1.21,0.09,0.07,0.18,0.92,0.05,0.68,2.19,0.19,1.21,22.01,3.45
562,Suso,laliga,0.00,0.19,0.00,0.10,0.10,0.17,1.93,5.79,7.15,1.74,0.39,0.00,0.06,0.15,2.51,0.58,0.58,5.79,0.58,0.39,26.65,1.74
563,Toni Martinez,laliga,0.40,0.00,0.40,0.30,0.30,0.06,1.30,1.10,5.01,4.40,1.50,0.09,0.07,0.09,1.10,0.20,0.10,2.60,0.10,1.50,18.12,6.91
564,Ivan Sanchez,laliga,0.08,0.08,0.08,0.05,0.05,0.15,3.78,4.86,5.63,0.93,0.31,0.08,0.05,0.16,1.39,0.15,0.77,3.78,0.31,0.31,19.67,1.54
565,Bojan Miovski,laliga,0.16,0.08,0.16,0.35,0.28,0.02,0.32,0.40,3.62,1.61,0.56,0.10,0.18,0.02,0.24,0.00,0.08,0.88,0.40,0.56,9.48,3.21
566,Umar Sadiq,laliga,0.44,0.09,0.44,0.34,0.34,0.10,1.24,1.32,5.56,2.38,0.79,0.19,0.16,0.08,0.62,0.00,0.09,1.77,0.44,0.79,17.75,5.30
567,Pablo Duran,laliga,0.31,0.31,0.31,0.23,0.23,0.21,1.48,2.11,8.42,1.48,0.55,0.21,0.16,0.07,1.09,0.08,0.23,1.87,0.23,0.55,17.70,4.06
568,Domingos Andre Ribeiro Almeida,laliga,0.00,0.14,0.00,0.05,0.05,0.13,1.95,6.31,3.31,0.82,0.18,0.00,0.06,0.19,1.77,0.18,0.23,3.58,0.18,0.18,19.23,1.81
569,Borja Mayoral,laliga,0.54,0.13,0.40,0.39,0.28,0.05,0.27,1.48,3.63,1.75,0.81,0.23,0.16,0.03,0.40,0.00,0.00,1.48,0.27,0.81,15.20,3.09
570,Ramon Terrats,laliga,0.34,0.09,0.34,0.15,0.15,0.22,1.03,3.77,3.09,1.20,0.60,0.29,0.12,0.12,1.20,0.26,0.17,2.83,0.17,0.60,16.97,1.71
571,Chrisantus Uche,laliga,0.12,0.20,0.12,0.14,0.14,0.08,1.53,1.74,5.45,1.86,0.52,0.07,0.07,0.10,1.01,0.04,0.12,2.95,0.36,0.52,18.28,3.63
572,Munir El Haddadi,laliga,0.23,0.00,0.23,0.13,0.13,0.08,1.03,2.16,4.22,1.59,0.80,0.14,0.08,0.05,0.68,0.11,0.11,1.59,0.11,0.80,14.70,1.94
573,Carles Alena,laliga,0.00,0.14,0.00,0.10,0.10,0.06,1.37,4.39,3.31,1.08,0.22,0.00,0.10,0.07,1.15,0.14,0.22,2.88,0.22,0.22,17.21,2.02
574,Jaime Mata,laliga,0.10,0.00,0.10,0.36,0.36,0.02,0.71,0.92,5.40,1.83,0.61,0.06,0.19,0.04,0.51,0.00,0.20,1.73,0.10,0.61,14.88,4.08
575,Karim Adeyemi,bundesliga,0.36,0.24,0.36,0.29,0.29,0.31,4.40,1.86,8.73,2.94,1.15,0.12,0.10,0.17,1.47,0.16,0.24,3.45,0.60,1.15,22.65,5.51
576,Adam Hlozek,bundesliga,0.36,0.20,0.36,0.32,0.32,0.16,2.36,3.16,4.64,3.24,1.00,0.11,0.10,0.16,0.96,0.04,0.08,2.60,0.36,1.00,17.67,5.16
577,Igor Matanovic,bundesliga,0.15,0.15,0.15,0.28,0.28,0.06,0.30,1.64,4.78,3.28,1.34,0.05,0.09,0.04,0.75,0.30,0.00,2.09,0.30,1.34,13.73,4.48
578,Chris Fuhrich,bundesliga,0.14,0.07,0.14,0.12,0.12,0.15,5.01,4.90,9.58,1.55,0.65,0.09,0.08,0.30,1.37,0.32,0.54,3.64,0.25,0.65,30.62,4.97
579,Michael Gregoritsch,bundesliga,0.21,0.11,0.21,0.31,0.31,0.06,0.75,3.52,5.23,2.56,0.96,0.08,0.12,0.11,0.75,0.00,0.00,2.67,0.53,0.96,15.16,5.02
580,Andre Silva,bundesliga,0.36,0.24,0.12,0.61,0.32,0.12,1.68,1.93,6.50,2.77,0.96,0.04,0.12,0.10,1.08,0.36,0.12,2.89,0.36,0.96,18.41,5.53
581,Lucas Holer,bundesliga,0.24,0.20,0.24,0.36,0.32,0.12,0.83,2.25,5.72,1.61,0.78,0.15,0.21,0.08,0.93,0.05,0.05,2.44,0.29,0.78,16.32,3.91
582,Donyell Malen,bundesliga,0.71,0.07,0.71,0.59,0.59,0.09,3.13,2.13,10.09,3.48,1.63,0.20,0.18,0.10,0.57,0.07,0.14,2.20,0.64,1.63,25.43,6.39
583,Mathias Honsak,bundesliga,0.30,0.08,0.30,0.27,0.27,0.11,2.59,1.98,4.34,2.21,0.68,0.14,0.12,0.14,1.07,0.00,0.61,2.89,0.38,0.68,15.06,2.43
584,Fares Chaibi,bundesliga,0.06,0.11,0.06,0.19,0.19,0.24,1.65,4.73,6.44,2.17,0.68,0.03,0.09,0.26,2.34,0.29,0.63,4.22,0.34,0.68,24.28,2.68
585,Alassane Plea,bundesliga,0.46,0.18,0.41,0.34,0.31,0.15,2.43,5.23,6.70,1.97,0.64,0.21,0.16,0.15,1.19,0.73,0.37,3.17,0.55,0.64,19.93,3.49
586,Yorbe Vertessen,bundesliga,0.21,0.00,0.21,0.16,0.16,0.18,2.17,2.07,5.48,3.31,0.83,0.06,0.05,0.20,1.66,0.10,0.21,3.72,0.00,0.83,21.52,3.62
587,Jann Fiete Arp,bundesliga,0.26,0.00,0.13,0.49,0.28,0.13,1.68,2.72,8.28,2.59,1.16,0.05,0.11,0.22,1.42,0.13,0.39,4.27,0.39,1.16,18.88,3.62
588,Alexis Claude Maurice,bundesliga,0.43,0.10,0.43,0.19,0.19,0.05,2.54,2.35,4.40,2.30,0.91,0.19,0.08,0.08,0.77,0.14,0.19,2.78,0.29,0.91,17.81,2.78
589,Tim Kleindienst,bundesliga,0.53,0.16,0.49,0.45,0.40,0.18,1.42,2.18,4.88,2.54,1.22,0.19,0.16,0.12,0.96,0.23,0.03,2.34,0.46,1.22,14.14,4.71
590,Julien Duranville,bundesliga,0.00,0.00,0.00,0.05,0.05,0.11,4.80,2.56,9.91,1.28,0.48,0.00,0.04,0.22,0.80,0.32,0.32,3.20,0.80,0.48,25.26,5.12
591,Enzo Millot,bundesliga,0.24,0.31,0.24,0.34,0.28,0.22,1.93,5.70,6.35,2.04,0.75,0.12,0.14,0.24,1.43,0.44,0.20,3.73,0.58,0.75,23.69,3.70
592,Lukas Daschner,bundesliga,0.20,0.20,0.20,0.53,0.38,0.16,1.78,2.17,4.14,1.58,0.79,0.13,0.24,0.12,1.38,0.59,0.00,2.17,0.20,0.79,19.74,3.16
593,Shuto Machino,bundesliga,0.43,0.05,0.38,0.26,0.22,0.10,1.24,2.70,4.86,2.21,0.86,0.17,0.10,0.11,1.13,0.05,0.27,3.13,0.32,0.86,16.84,2.86
594,Michy Batshuayi,bundesliga,0.36,0.00,0.36,0.29,0.29,0.02,1.45,2.00,5.27,1.45,0.73,0.25,0.20,0.09,0.36,0.00,0.00,1.64,0.00,0.73,12.73,3.45
595,Daniel Svensson,bundesliga,0.12,0.00,0.12,0.07,0.07,0.07,1.40,4.43,3.85,0.70,0.47,0.17,0.10,0.08,1.17,0.00,0.47,2.45,0.23,0.47,18.30,2.45
596,Tom Bischof,bundesliga,0.18,0.12,0.18,0.08,0.08,0.15,1.85,5.01,3.71,1.88,0.61,0.10,0.04,0.20,2.04,0.15,0.33,4.59,0.27,0.61,22.67,1.82
597,Andreas Skov Olsen,bundesliga,0.12,0.12,0.12,0.21,0.21,0.23,4.39,3.90,7.68,1.95,0.61,0.06,0.11,0.21,2.32,0.12,0.37,5.00,0.12,0.61,22.80,3.05
598,Vincenzo Grifo,bundesliga,0.29,0.40,0.29,0.30,0.21,0.25,2.46,5.11,5.88,2.43,0.92,0.12,0.09,0.28,2.39,0.37,0.40,4.56,0.51,0.92,23.01,2.87
599,Phillip Tietz,bundesliga,0.30,0.10,0.25,0.29,0.25,0.07,0.40,1.89,5.38,2.29,0.70,0.11,0.11,0.07,1.05,0.05,0.05,2.29,0.25,0.70,15.05,3.84
600,Victor Boniface,bundesliga,0.73,0.06,0.61,0.75,0.61,0.07,2.63,1.96,6.31,4.29,1.35,0.14,0.14,0.11,0.67,0.37,0.12,2.39,0.37,1.35,18.86,6.67
601,Budu Zivzivadze,bundesliga,0.20,0.30,0.20,0.13,0.13,0.14,0.91,1.71,3.93,1.81,0.70,0.11,0.07,0.14,1.11,0.10,0.20,2.42,0.40,0.70,13.69,3.52
602,Benedict Hollerbach,bundesliga,0.38,0.04,0.38,0.27,0.27,0.06,3.54,2.36,7.51,2.71,0.84,0.14,0.10,0.10,0.91,0.11,0.15,2.67,0.23,0.84,20.39,5.30
603,Nick Woltemade,bundesliga,0.61,0.11,0.50,0.47,0.39,0.22,1.55,3.38,7.32,2.28,1.17,0.22,0.17,0.18,2.00,0.28,0.00,4.05,0.50,1.17,21.70,7.93
604,Alexander Bernhardsson,bundesliga,0.38,0.09,0.38,0.16,0.16,0.07,1.42,2.46,5.86,1.70,0.66,0.22,0.10,0.09,1.23,0.09,0.28,2.17,0.19,0.66,14.94,2.84
605,Fabian Rieder,bundesliga,0.25,0.49,0.25,0.19,0.19,0.26,2.23,4.37,5.85,2.39,0.74,0.10,0.08,0.26,1.90,0.25,0.33,4.45,0.82,0.74,26.62,2.31
606,Andrej Ilic,bundesliga,0.64,0.00,0.51,0.44,0.33,0.04,0.38,1.15,5.38,2.56,1.02,0.20,0.13,0.01,0.64,0.13,0.00,1.41,0.26,1.02,12.16,4.61
607,Sirlord Conteh,bundesliga,0.11,0.11,0.11,0.23,0.23,0.26,2.97,2.09,7.58,1.43,0.55,0.08,0.16,0.14,1.43,0.00,0.22,2.97,0.44,0.55,15.71,3.41
608,Patrik Schick,bundesliga,0.91,0.00,0.91,0.64,0.64,0.03,0.52,1.17,5.64,3.86,1.56,0.24,0.17,0.05,0.69,0.00,0.00,1.95,0.09,1.56,16.02,5.95
609,Patrick Wimmer,bundesliga,0.21,0.21,0.21,0.23,0.23,0.14,1.98,4.13,4.61,2.09,0.54,0.10,0.11,0.17,1.07,0.32,0.21,3.43,0.70,0.54,19.14,3.65
610,Tomas Cvancara,bundesliga,0.11,0.00,0.11,0.38,0.38,0.04,1.59,2.12,5.50,3.07,0.95,0.03,0.13,0.03,0.42,0.00,0.21,1.69,0.21,0.95,15.33,3.91
611,Dani de Wit,bundesliga,0.17,0.00,0.17,0.15,0.15,0.03,0.34,2.20,2.88,1.52,0.42,0.11,0.10,0.04,0.68,0.08,0.17,1.52,0.17,0.42,11.01,2.79
612,Yussuf Poulsen,bundesliga,0.34,0.00,0.34,0.66,0.66,0.14,0.51,2.73,5.28,3.24,1.36,0.11,0.22,0.15,1.36,0.00,0.00,2.90,0.34,1.36,19.26,7.33
613,Michael Olise,bundesliga,0.43,0.40,0.40,0.42,0.40,0.39,4.67,7.72,13.65,3.53,1.36,0.11,0.11,0.46,2.80,0.96,0.48,6.06,0.80,1.36,48.10,5.98
614,Christoph Baumgartner,bundesliga,0.22,0.04,0.22,0.30,0.30,0.07,1.86,2.56,5.16,2.21,0.95,0.10,0.14,0.08,0.95,0.52,0.04,2.17,0.26,0.95,16.38,3.42
615,Franck Honorat,bundesliga,0.14,0.34,0.14,0.24,0.24,0.32,3.55,2.80,7.09,1.64,0.34,0.08,0.14,0.29,2.80,0.00,0.89,4.70,0.41,0.34,22.91,3.41
616,Marvin Pieringer,bundesliga,0.30,0.09,0.17,0.37,0.27,0.16,0.78,2.50,4.74,2.37,0.73,0.07,0.11,0.08,1.29,0.17,0.04,2.89,0.26,0.73,13.96,4.05
617,Junior Dina Ebimbe,bundesliga,0.39,0.13,0.39,0.33,0.33,0.13,2.18,1.54,10.53,2.95,0.51,0.13,0.11,0.13,0.64,0.00,0.00,2.18,0.39,0.51,20.93,5.65
618,Thomas Muller,bundesliga,0.21,0.36,0.21,0.32,0.32,0.26,2.07,4.18,10.64,2.32,0.88,0.09,0.14,0.39,2.43,0.41,0.78,4.65,0.83,0.88,31.21,7.80
619,Phil Harres,bundesliga,0.50,0.06,0.50,0.31,0.31,0.08,0.63,0.88,4.08,2.20,1.00,0.23,0.14,0.07,0.57,0.00,0.13,1.26,0.31,1.00,9.55,3.45
620,Arthur,bundesliga,0.00,0.33,0.00,0.01,0.01,0.09,1.99,2.87,8.62,0.22,0.00,0.00,0.05,0.14,0.88,0.00,0.66,1.55,0.33,0.00,24.21,2.10
621,Eren Dinkci,bundesliga,0.12,0.24,0.12,0.13,0.13,0.15,2.62,2.80,5.54,1.37,0.48,0.09,0.10,0.09,1.61,0.06,0.30,3.45,0.54,0.48,17.04,2.98
622,Moritz Broschinski,bundesliga,0.06,0.29,0.06,0.28,0.28,0.12,2.30,1.18,8.73,2.54,0.77,0.02,0.11,0.10,0.83,0.00,0.29,2.54,0.41,0.77,19.11,4.60
623,Junior Adamu,bundesliga,0.14,0.07,0.14,0.34,0.34,0.11,0.50,0.72,5.04,2.09,0.79,0.07,0.16,0.13,1.01,0.07,0.00,1.87,0.22,0.79,13.60,4.53
624,Derrick Kohn,bundesliga,0.14,0.14,0.14,0.05,0.05,0.11,2.35,2.49,8.23,0.90,0.28,0.15,0.06,0.14,1.11,0.07,0.42,2.49,0.21,0.28,21.79,2.01
625,Andrej Kramaric,bundesliga,0.47,0.28,0.39,0.42,0.35,0.19,2.68,4.86,6.94,2.35,0.99,0.16,0.15,0.21,1.82,0.19,0.53,3.87,0.53,0.99,23.13,4.42
626,Harry Kane,bundesliga,0.96,0.27,0.57,0.83,0.53,0.18,1.09,3.21,5.01,3.92,1.73,0.14,0.14,0.18,1.50,0.57,0.07,3.23,0.59,1.73,18.60,6.09
627,Armindo Sieb,bundesliga,0.24,0.24,0.24,0.33,0.33,0.13,3.21,2.14,7.60,3.32,0.83,0.07,0.10,0.07,0.95,0.12,0.24,2.02,0.47,0.83,18.40,5.34
628,Serge Gnabry,bundesliga,0.33,0.33,0.33,0.47,0.43,0.35,3.40,3.79,12.14,3.18,1.26,0.10,0.14,0.37,1.59,0.44,0.16,4.17,0.82,1.26,32.07,7.25
629,Ermedin Demirovic,bundesliga,0.51,0.00,0.51,0.56,0.49,0.08,1.20,1.49,5.64,3.16,1.09,0.16,0.16,0.07,0.91,0.11,0.00,2.29,0.22,1.09,15.13,5.93
630,Maximilian Beier,bundesliga,0.43,0.18,0.43,0.37,0.37,0.14,1.30,1.69,6.55,2.23,0.83,0.19,0.17,0.13,1.15,0.07,0.22,2.81,0.29,0.83,17.24,4.53
631,El Bilal Toure,bundesliga,0.50,0.12,0.50,0.33,0.33,0.22,2.48,1.49,7.31,2.85,0.87,0.17,0.12,0.15,1.61,0.12,0.00,2.85,0.50,0.87,23.93,5.21
632,Elias Saad,bundesliga,0.31,0.21,0.31,0.29,0.29,0.08,2.79,2.69,7.54,2.69,0.83,0.12,0.11,0.11,1.34,0.21,0.31,3.51,0.41,0.83,22.11,4.34
633,Omar Traore,bundesliga,0.00,0.07,0.00,0.01,0.01,0.06,3.66,4.08,3.91,0.46,0.11,0.00,0.03,0.11,0.75,0.00,0.50,1.88,0.14,0.11,15.70,0.75
634,Haris Tabakovic,bundesliga,0.20,0.10,0.20,0.31,0.31,0.13,0.30,0.70,4.69,2.90,0.90,0.07,0.11,0.10,1.00,0.00,0.10,1.70,0.20,0.90,14.58,5.09
635,Philipp Hofmann,bundesliga,0.14,0.11,0.14,0.25,0.25,0.13,0.39,2.21,4.46,2.43,0.86,0.06,0.10,0.10,1.07,0.11,0.00,2.46,0.11,0.86,12.63,4.28
636,Merlin Rohl,bundesliga,0.00,0.10,0.00,0.08,0.08,0.16,1.83,2.12,5.59,1.16,0.29,0.00,0.06,0.11,0.87,0.00,0.29,2.41,0.29,0.29,15.22,2.51
637,Mario Gotze,bundesliga,0.18,0.11,0.18,0.15,0.15,0.14,1.44,4.95,5.06,0.48,0.30,0.38,0.30,0.11,1.77,0.18,0.11,3.51,0.30,0.30,20.74,2.14
638,Jan Niklas Beste,bundesliga,0.14,0.42,0.14,0.17,0.17,0.17,3.06,1.94,8.06,1.94,0.97,0.07,0.08,0.18,1.53,0.00,0.42,3.89,0.83,0.97,26.25,3.47
639,Marcel Sabitzer,bundesliga,0.00,0.00,0.00,0.12,0.12,0.07,1.04,4.91,3.51,1.34,0.47,0.00,0.09,0.08,0.74,0.13,0.17,2.14,0.20,0.47,15.08,2.01
640,Koji Miyoshi,bundesliga,0.20,0.00,0.20,0.22,0.22,0.16,2.20,2.80,4.60,2.40,1.00,0.08,0.09,0.12,1.00,0.80,0.00,1.80,0.00,1.00,16.80,4.20
641,Nathan NGoumou,bundesliga,0.19,0.10,0.19,0.22,0.22,0.14,3.36,1.82,9.12,2.69,1.25,0.07,0.08,0.15,0.77,0.10,0.29,2.40,0.48,1.25,20.53,6.33
642,Mathys Tel,bundesliga,0.22,0.15,0.15,0.31,0.25,0.16,2.33,2.33,8.88,3.13,1.09,0.05,0.08,0.14,0.95,0.00,0.44,1.89,0.22,1.09,24.66,4.37
643,Jacob Bruun Larsen,bundesliga,0.28,0.14,0.28,0.25,0.25,0.17,3.44,3.10,8.39,2.27,0.83,0.12,0.11,0.18,1.93,0.28,0.48,3.58,0.28,0.83,25.46,5.64
644,Yan Couto,bundesliga,0.00,0.00,0.00,0.03,0.03,0.07,4.37,5.78,8.11,0.56,0.14,0.00,0.05,0.23,0.92,0.21,0.99,2.40,0.42,0.14,23.35,1.97
645,Ruben Vargas,bundesliga,0.24,0.08,0.24,0.26,0.26,0.14,3.26,2.62,8.50,2.30,0.56,0.10,0.12,0.17,1.67,0.00,0.48,4.13,0.24,0.56,24.55,3.97
646,Jamie Leweling,bundesliga,0.17,0.13,0.17,0.14,0.14,0.19,3.57,3.15,9.42,2.36,1.14,0.07,0.06,0.16,1.18,0.08,0.46,2.86,0.50,1.14,25.86,4.33
647,Giorgos Masouras,bundesliga,0.20,0.10,0.20,0.36,0.36,0.09,2.02,1.52,6.27,2.53,1.31,0.08,0.15,0.09,0.81,0.00,0.30,2.43,0.30,1.31,17.90,4.55
648,Laszlo Benes,bundesliga,0.18,0.18,0.18,0.14,0.14,0.18,0.90,4.85,5.39,2.69,1.08,0.07,0.05,0.25,3.41,0.18,1.08,5.39,0.18,1.08,25.87,1.80
649,Jonas Wind,bundesliga,0.38,0.13,0.34,0.25,0.18,0.19,0.85,4.49,4.23,1.88,0.51,0.18,0.09,0.21,1.58,0.26,0.00,2.90,0.26,0.51,14.35,3.76
650,Justin Njinmah,bundesliga,0.31,0.21,0.31,0.31,0.31,0.16,3.03,2.20,9.94,2.83,0.73,0.11,0.11,0.15,1.15,0.10,0.31,3.66,0.42,0.73,20.09,5.55
651,Ritsu Doan,bundesliga,0.34,0.22,0.34,0.22,0.22,0.12,2.03,3.63,5.79,2.03,0.72,0.17,0.12,0.17,0.91,0.38,0.41,3.25,0.47,0.72,20.15,3.47
652,Robin Hack,bundesliga,0.25,0.21,0.25,0.22,0.22,0.14,2.32,3.91,5.64,2.32,1.01,0.11,0.10,0.14,1.22,0.55,0.42,2.69,0.38,1.01,17.60,3.41
653,Marco Grull,bundesliga,0.50,0.08,0.50,0.33,0.33,0.13,1.67,2.67,7.02,2.09,0.84,0.24,0.16,0.12,0.75,0.17,0.25,2.92,0.25,0.84,18.97,4.35
654,Leo Scienza,bundesliga,0.25,0.17,0.25,0.16,0.16,0.27,5.17,2.33,6.58,2.83,1.17,0.09,0.06,0.31,2.42,0.08,0.58,6.00,0.42,1.17,21.83,3.42
655,Myron Boadu,bundesliga,0.89,0.13,0.77,0.71,0.61,0.08,0.77,1.28,5.49,2.55,1.15,0.30,0.24,0.17,0.77,0.00,0.13,2.17,0.13,1.15,12.13,4.21
656,Max Moerstedt,bundesliga,0.10,0.00,0.10,0.26,0.26,0.08,1.03,1.85,6.68,2.77,1.13,0.04,0.09,0.07,1.13,0.21,0.00,2.77,0.21,1.13,16.95,6.47
657,Nelson Weiper,bundesliga,0.39,0.13,0.39,0.53,0.53,0.22,1.81,1.30,8.16,2.72,1.42,0.14,0.20,0.08,1.04,0.00,0.00,1.68,0.13,1.42,21.76,6.22
658,Silas Katompa,bundesliga,0.52,0.13,0.52,0.23,0.23,0.10,2.98,2.59,6.74,2.07,0.91,0.25,0.11,0.13,0.91,0.52,0.13,2.20,0.52,0.91,15.56,4.15
659,Samuel Essende,bundesliga,0.42,0.12,0.42,0.20,0.20,0.07,1.87,1.02,6.69,2.29,0.78,0.18,0.09,0.08,0.54,0.00,0.06,1.39,0.18,0.78,14.70,4.94
660,Paul Wanner,bundesliga,0.17,0.06,0.11,0.20,0.15,0.06,1.41,3.34,3.22,1.30,0.28,0.09,0.12,0.10,0.96,0.23,0.17,2.60,0.34,0.28,17.31,2.26
661,Jamie Gittens,bundesliga,0.40,0.13,0.40,0.19,0.19,0.13,5.75,2.04,9.19,2.77,1.04,0.14,0.07,0.22,1.14,0.17,0.30,3.64,0.47,1.04,25.50,5.68
662,Steven Skrzybski,bundesliga,0.53,0.18,0.44,0.30,0.23,0.16,1.40,4.21,5.00,2.37,0.97,0.19,0.10,0.23,1.49,0.26,0.53,3.51,0.26,0.97,15.89,3.51
663,Benedikt Pichler,bundesliga,0.12,0.23,0.12,0.26,0.26,0.13,1.98,2.10,6.52,2.10,0.93,0.06,0.12,0.13,1.40,0.23,0.23,3.38,0.35,0.93,14.67,4.54
664,Frans Kratzig,bundesliga,0.09,0.18,0.09,0.04,0.04,0.12,1.61,2.42,3.94,0.63,0.27,0.14,0.07,0.12,1.79,0.09,0.36,2.96,0.18,0.27,15.51,1.88
665,Florian Wirtz,bundesliga,0.48,0.33,0.39,0.39,0.27,0.27,4.48,6.82,10.85,2.88,1.36,0.14,0.09,0.35,2.52,0.97,0.24,5.64,0.70,1.36,43.39,5.52
666,Danel Sinani,bundesliga,0.19,0.19,0.19,0.13,0.13,0.20,0.87,4.43,4.72,2.89,1.06,0.07,0.05,0.15,1.54,0.29,0.19,4.34,0.29,1.06,22.84,2.22
667,Marvin Ducksch,bundesliga,0.30,0.41,0.22,0.43,0.34,0.31,0.81,3.07,5.81,2.93,1.07,0.08,0.12,0.32,2.04,0.22,0.30,3.63,0.52,1.07,20.93,4.33
668,Amine Adli,bundesliga,0.29,0.07,0.29,0.32,0.32,0.15,3.40,3.48,10.86,2.61,1.16,0.11,0.12,0.22,1.38,0.07,0.36,3.62,0.22,1.16,31.13,5.86
669,Kingsley Coman,bundesliga,0.34,0.23,0.34,0.29,0.29,0.22,4.47,3.38,14.86,3.15,1.26,0.11,0.09,0.28,2.35,0.11,0.52,6.02,0.86,1.26,36.48,6.37
670,Adrian Beck,bundesliga,0.14,0.07,0.14,0.17,0.17,0.07,1.80,4.09,4.79,2.15,0.56,0.06,0.08,0.12,1.11,0.00,0.28,3.26,0.21,0.56,17.76,2.91
671,Kevin Stoger,bundesliga,0.25,0.20,0.15,0.22,0.14,0.37,2.37,7.12,5.35,1.62,0.40,0.09,0.08,0.28,3.84,0.81,0.35,7.17,0.56,0.40,28.48,2.53
672,Lois Openda,bundesliga,0.30,0.22,0.30,0.34,0.32,0.14,1.96,1.52,7.92,2.81,1.08,0.11,0.12,0.09,1.02,0.08,0.06,2.37,0.44,1.08,16.96,5.27
673,Johannes Eggestein,bundesliga,0.15,0.20,0.10,0.23,0.15,0.10,1.23,2.12,6.66,1.68,0.49,0.06,0.09,0.06,1.18,0.20,0.10,2.12,0.20,0.49,14.71,3.75
674,Morgan Guilavogui,bundesliga,0.30,0.06,0.30,0.36,0.36,0.11,1.98,2.22,7.08,2.16,0.72,0.14,0.17,0.14,1.50,0.06,0.18,2.76,0.12,0.72,19.80,5.40
675,Arne Engels,bundesliga,0.10,0.29,0.00,0.27,0.12,0.19,1.26,3.39,3.69,1.45,0.48,0.00,0.09,0.15,1.75,0.29,0.10,2.62,0.39,0.48,18.81,1.65
676,Dennis Geiger,bundesliga,0.00,0.13,0.00,0.01,0.01,0.06,1.77,5.55,2.65,0.50,0.13,0.00,0.03,0.10,1.26,0.25,0.13,3.41,0.38,0.13,13.25,1.14
677,Serhou Guirassy,bundesliga,0.78,0.22,0.61,0.81,0.65,0.18,0.90,1.59,4.90,3.02,1.32,0.20,0.22,0.13,1.12,0.29,0.02,2.24,0.41,1.32,13.71,5.24
678,Mergim Berisha,bundesliga,0.17,0.17,0.17,0.30,0.30,0.17,1.40,1.57,5.42,3.32,0.87,0.05,0.09,0.09,0.52,0.52,0.00,1.75,0.17,0.87,11.71,3.84
679,Omar Marmoush,bundesliga,0.75,0.32,0.60,0.57,0.46,0.25,3.56,2.78,7.57,4.13,1.72,0.15,0.11,0.20,1.89,0.32,0.20,4.88,0.83,1.72,26.42,6.05
680,Martin Terrier,bundesliga,0.29,0.29,0.29,0.35,0.35,0.12,1.27,1.85,5.46,2.34,1.07,0.13,0.15,0.18,0.98,0.20,0.10,2.73,0.49,1.07,17.75,5.07
681,Jonathan Burkardt,bundesliga,0.72,0.09,0.68,0.60,0.57,0.15,1.36,1.70,6.73,2.72,1.15,0.25,0.21,0.12,0.98,0.09,0.26,2.47,0.30,1.15,16.31,4.85
682,Jean Matteo Bahoya,bundesliga,0.23,0.23,0.23,0.21,0.21,0.19,2.87,3.03,9.09,1.16,0.47,0.20,0.18,0.16,1.79,0.08,0.47,3.65,0.54,0.47,20.81,3.65
683,Hugo Ekitike,bundesliga,0.56,0.24,0.54,0.66,0.59,0.23,2.96,1.80,7.44,3.84,1.45,0.14,0.15,0.20,1.61,0.30,0.16,3.57,0.56,1.45,20.34,6.90
684,Benjamin Sesko,bundesliga,0.61,0.15,0.52,0.42,0.35,0.07,1.50,1.44,4.92,2.60,1.19,0.20,0.14,0.07,0.70,0.12,0.00,1.74,0.24,1.19,13.56,3.82
685,Gerrit Holtmann,bundesliga,0.08,0.08,0.08,0.16,0.16,0.21,3.62,2.71,7.23,2.30,0.41,0.04,0.07,0.23,1.48,0.00,1.23,3.53,0.25,0.41,21.37,2.14
