,Name,Age,Market Value,Starting Eleven,Minutes,Goal Involvement
603,Alexander Isak,25,100.0,91,82,44
604,Danilo,23,28.0,75,41,0
605,Nicolas Dominguez,26,17.0,25,38,0
606,Chris Wood,33,10.0,0,19,0
607,Callum Hudson Odoi,24,24.0,25,43,0
608,Anthony Elanga,22,35.0,25,41,6
609,Jota Silva,25,14.0,50,50,6
610,Jeremy Doku,22,55.0,41,43,12
611,Omar Marmoush,26,75.0,92,85,36
612,Bernardo Silva,30,45.0,74,75,11
613,Yan Couto,22,20.0,27,32,0
614,Erling Haaland,24,200.0,82,81,36
615,Julian Alvarez,25,90.0,78,73,30
616,Jack Grealish,29,35.0,21,23,3
617,Phil Foden,24,130.0,56,55,14
618,Enes Unal,27,13.0,6,11,6
619,Evanilson,25,35.0,70,65,25
620,David Brooks,27,12.0,24,27,4
621,Justin Kluivert,25,35.0,76,69,35
622,Hamed Junior Traore,25,18.0,86,78,31
623,Romain Faivre,26,7.0,33,33,10
624,Marcus Tavernier,26,20.0,48,53,15
625,Dango Ouattara,23,25.0,58,62,21
626,Antoine Semenyo,25,35.0,97,95,25
627,Diogo Jota,28,45.0,39,36,13
628,Cody Gakpo,25,70.0,55,53,16
629,Harvey Elliott,22,35.0,0,6,1
630,Federico Chiesa,27,18.0,0,1,0
631,Fabio Carvalho,22,15.0,9,15,5
632,Darwin Nunez,25,50.0,24,34,11
633,Luis Diaz,28,85.0,76,73,24
634,Mohamed Salah,32,55.0,100,99,60
635,Adam Armstrong,28,14.0,79,72,23
636,Che Adams,28,15.0,79,76,32
637,Kamaldeen Sulemana,23,13.0,36,35,8
638,Paul Onuachu,30,8.0,33,33,21
639,Tyler Dibling,19,25.0,55,57,13
640,Cameron Archer,23,14.0,39,45,8
641,Albert Gronbaek,23,12.0,18,14,0
642,Sekou Mara,22,6.0,21,24,4
643,Keane Lewis Potter,24,23.0,94,92,9
644,Yoane Wissa,28,30.0,88,83,36
645,Michael Kayode,20,18.0,9,13,0
646,Mikkel Damsgaard,24,25.0,88,85,21
647,Bryan Mbeumo,25,50.0,100,100,43
648,Kevin Schade,23,27.0,64,65,16
649,Nathan Broadhead,27,5.0,18,20,3
650,Omari Hutchinson,21,22.0,79,75,15
651,Wes Burns,30,2.5,36,31,3
652,Ben Johnson,25,9.0,39,44,9
