,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target.1,Touches (Att 3rd),Touches (Att Pen),Age,Market Value,Starting Eleven,Minutes,Goal Involvement
721,Yann Gboho,ligue1,0.12,0.12,0.12,0.19,0.19,0.13,4.74,4.08,7.5,1.86,0.93,0.06,0.1,0.16,1.2,0.19,0,3.38,0.23,0.93,19.65,5.01,24,8,80,76,13
722,Yann Karamoh,seriea,0,0.08,0,0.09,0.09,0.08,2.98,2.12,6.51,1.96,0.47,0,0.05,0.09,0.94,0.16,0.08,2.12,0.16,0.47,17.09,4,26,2.2,30,34,5
723,Yaser Asprilla,laliga,0.2,0,0.2,0.11,0.11,0.14,3.88,5.46,8.42,2.43,0.66,0.08,0.05,0.19,1.58,0.46,0.46,4.14,0.39,0.66,28.42,2.63,21,18,38,39,8
724,Yassine Kechta,ligue1,0.19,0,0.19,0.14,0.14,0.06,1.86,3.82,3.72,1.44,0.51,0.13,0.1,0.06,0.75,0.09,0.23,2.14,0.19,0.51,12.11,1.26,23,5,70,66,9
725,Yaya Kader Fofana,ligue1,0.14,0.14,0.14,0.08,0.08,0.24,2.68,3.11,4.1,1.84,0.57,0.08,0.05,0.14,0.99,0.42,0.14,3.11,0.71,0.57,13,2.4,,,,,
726,Yoane Wissa,epl,0.61,0.17,0.61,0.52,0.52,0.08,1.75,2.02,5.02,2.66,1.21,0.23,0.19,0.06,0.88,0.13,0.07,2.15,0.37,1.21,13.5,5.02,28,30,88,83,36
727,Yorbe Vertessen,bundesliga,0.21,0,0.21,0.16,0.16,0.18,2.17,2.07,5.48,3.31,0.83,0.06,0.05,0.2,1.66,0.1,0.21,3.72,0,0.83,21.52,3.62,24,6,100,87,44
728,Youssoufa Moukoko,ligue1,0.38,0.19,0.38,0.5,0.5,0.17,1.05,2.3,5.37,2.11,0.58,0.18,0.24,0.12,1.53,0.19,0.1,2.4,0.19,0.58,15.24,4.7,20,10,7,8,7
729,Yunus Musah,seriea,0,0.08,0,0.09,0.09,0.1,3.1,4.61,4.82,1.22,0.21,0,0.08,0.08,1.34,0.17,0.38,2.73,0.21,0.21,16.94,2.01,22,22,25,38,0
730,Yussuf Poulsen,bundesliga,0.34,0,0.34,0.66,0.66,0.14,0.51,2.73,5.28,3.24,1.36,0.11,0.22,0.15,1.36,0,0,2.9,0.34,1.36,19.26,7.33,30,5,7,11,2
731,Zakaria Aboukhlal,ligue1,0.31,0.09,0.26,0.46,0.39,0.07,1.62,1.27,7.81,2.99,1.14,0.09,0.13,0.1,0.53,0,0.18,1.76,0.31,1.14,17.69,5.18,25,12,73,69,29
732,Zinedine Ferhat,ligue1,0.24,0,0.24,0.17,0.17,0.26,1.82,4.26,7.05,1.46,0.61,0.17,0.11,0.22,1.58,0.36,0.36,3.41,0.12,0.61,25.05,2.31,32,1.2,20,27,7
733,Zito Luvumbo,seriea,0.12,0.06,0.12,0.13,0.13,0.12,3.96,1.56,7.32,1.62,0.36,0.07,0.08,0.07,0.84,0,0.3,2.28,0.18,0.36,16.67,4.2,23,5.5,45,44,9
734,Zuriko Davitashvili,ligue1,0.27,0.23,0.19,0.27,0.21,0.14,3.28,2.31,6.71,2.24,0.81,0.09,0.1,0.17,1.39,0.19,0.12,3.66,0.5,0.81,22.47,3.93,24,10,93,90,42
