,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target.1,Touches (Att 3rd),Touches (Att Pen),Age,Market Value,Starting Eleven,Minutes,Goal Involvement
540,Nicolas Viola,seriea,0.22,0.07,0.22,0.19,0.19,0.19,1.5,3.67,5.31,2.47,0.67,0.09,0.07,0.22,2.09,0.3,0.15,4.34,0.3,0.67,19.6,2.69,35,1,48,39,12
541,Nicolo Cambiaghi,seriea,0.15,0.45,0.15,0.09,0.09,0.31,6.43,2.69,7.03,2.09,0.45,0.07,0.04,0.3,1.94,0,1.05,4.78,1.2,0.45,25.71,5.08,24,7,0,6,0
542,Nicolo Zaniolo,seriea,0.36,0.24,0.36,0.33,0.32,0.11,1.89,2.37,7.46,2.72,1.07,0.13,0.12,0.12,1.3,0.12,0,3.32,0.36,1.07,20.13,4.74,25,16,9,21,7
543,Nikola Krstovic,seriea,0.34,0.09,0.29,0.37,0.31,0.09,1.29,1.83,4.72,4.01,1.06,0.07,0.08,0.05,0.89,0.14,0,2.49,0.14,1.06,15.59,4.78,25,14,100,92,57
544,Nikola Vlasic,seriea,0.19,0.19,0.15,0.11,0.07,0.1,2.32,4.21,4.83,1.26,0.44,0.12,0.06,0.09,1.06,0.15,0.15,2.76,0.39,0.44,18.03,2.47,27,8,58,59,21
545,Noa Lang,eredivisie,0.26,0.26,0.13,0.29,0.18,0.15,6.47,5.94,9.24,2.64,0.92,0.05,0.07,0.2,1.98,0.26,0.13,5.15,0.53,0.92,33.39,5.15,25,25,63,58,20
546,Noah Okafor,seriea,0.12,0.25,0.12,0.25,0.25,0.27,5.23,3.36,10.58,2.24,1,0.06,0.11,0.2,1.49,0,0.5,2.99,0.62,1,23.4,5.98,24,15,16,16,2
547,Noah Weisshaupt,bundesliga,0.08,0,0.08,0.15,0.15,0.15,3.84,2.86,8,1.31,0.24,0.06,0.11,0.15,1.39,0.08,0.9,3.75,0.16,0.24,22.77,3.59,23,5,37,39,6
548,Noni Madueke,epl,0.37,0.21,0.37,0.37,0.37,0.25,6.48,3.7,10.76,3.45,1.33,0.11,0.11,0.16,1.66,0.12,0.37,4.11,0.5,1.33,28.12,8.14,23,40,67,56,19
549,Ola Solbakken,seriea,0,0,0,0.11,0.11,0.06,2.13,2.27,3.84,0.43,0.43,0,0.25,0.03,1.14,0.14,0.14,1.42,0.14,0.43,10.95,1.99,26,2.5,50,46,0
